"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "SQL", "CSS", "SCSS", "TypeScript", "PHP", "comment", "blank", "total"
"e:\Code\StudyManagement\.eslintrc.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"e:\Code\StudyManagement\README.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"e:\Code\StudyManagement\app.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 8, 13, 81
"e:\Code\StudyManagement\controllers\classes\Event.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"e:\Code\StudyManagement\controllers\classes\Subject.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 6, 113
"e:\Code\StudyManagement\controllers\classes\Teacher.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\Code\StudyManagement\controllers\classes\Timetable.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Code\StudyManagement\controllers\classes\User.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"e:\Code\StudyManagement\controllers\quicksort.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 15, 5, 64
"e:\Code\StudyManagement\controllers\replaceTemplate.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"e:\Code\StudyManagement\controllers\sendEmail.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\Code\StudyManagement\controllers\session.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
"e:\Code\StudyManagement\documents\data-flow\Ver2\exports\studymanagement_exp_accounts.sql", "SQL", 0, 0, 0, 0, 36, 0, 0, 0, 0, 12, 8, 56
"e:\Code\StudyManagement\documents\data-flow\Ver2\exports\studymanagement_exp_events.sql", "SQL", 0, 0, 0, 0, 37, 0, 0, 0, 0, 12, 8, 57
"e:\Code\StudyManagement\documents\data-flow\Ver2\exports\studymanagement_exp_sessions.sql", "SQL", 0, 0, 0, 0, 33, 0, 0, 0, 0, 12, 8, 53
"e:\Code\StudyManagement\documents\data-flow\Ver2\exports\studymanagement_exp_subjects.sql", "SQL", 0, 0, 0, 0, 44, 0, 0, 0, 0, 12, 8, 64
"e:\Code\StudyManagement\documents\data-flow\Ver2\exports\studymanagement_exp_teacher.sql", "SQL", 0, 0, 0, 0, 34, 0, 0, 0, 0, 12, 8, 54
"e:\Code\StudyManagement\models\connection.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\Code\StudyManagement\models\studymanagement.sql", "SQL", 0, 0, 0, 0, 103, 0, 0, 0, 0, 10, 6, 119
"e:\Code\StudyManagement\models\studymanagement_accounts.sql", "SQL", 0, 0, 0, 0, 36, 0, 0, 0, 0, 12, 8, 56
"e:\Code\StudyManagement\models\studymanagement_grade.sql", "SQL", 0, 0, 0, 0, 32, 0, 0, 0, 0, 12, 8, 52
"e:\Code\StudyManagement\models\studymanagement_include.sql", "SQL", 0, 0, 0, 0, 33, 0, 0, 0, 0, 12, 8, 53
"e:\Code\StudyManagement\models\studymanagement_sessions.sql", "SQL", 0, 0, 0, 0, 33, 0, 0, 0, 0, 12, 8, 53
"e:\Code\StudyManagement\models\studymanagement_subjects.sql", "SQL", 0, 0, 0, 0, 40, 0, 0, 0, 0, 12, 8, 60
"e:\Code\StudyManagement\models\studymanagement_teacher.sql", "SQL", 0, 0, 0, 0, 34, 0, 0, 0, 0, 12, 8, 54
"e:\Code\StudyManagement\models\studymanagement_timetable.sql", "SQL", 0, 0, 0, 0, 35, 0, 0, 0, 0, 12, 8, 55
"e:\Code\StudyManagement\models\ver2\SMVer2CREATE.sql", "SQL", 0, 0, 0, 0, 46, 0, 0, 0, 0, 15, 8, 69
"e:\Code\StudyManagement\models\ver2\SMVer2SELECT.sql", "SQL", 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 12, 71
"e:\Code\StudyManagement\package-lock.json", "JSON", 2981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2982
"e:\Code\StudyManagement\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"e:\Code\StudyManagement\routes\funtion-routes\eventGet.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"e:\Code\StudyManagement\routes\funtion-routes\subjectGet.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"e:\Code\StudyManagement\routes\main-routes\dashboardRouter.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 3, 36
"e:\Code\StudyManagement\routes\main-routes\eventRouter.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 9, 116
"e:\Code\StudyManagement\routes\main-routes\gradeRouter.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"e:\Code\StudyManagement\routes\main-routes\loginRouter.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 3, 50
"e:\Code\StudyManagement\routes\main-routes\registerRouter.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 3, 40
"e:\Code\StudyManagement\routes\main-routes\subjectRouter.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 1, 8, 186
"e:\Code\StudyManagement\routes\main-routes\teacherRouter.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 4, 7, 146
"e:\Code\StudyManagement\routes\main-routes\timetableRouter.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 5, 110
"e:\Code\StudyManagement\routes\pageRouter.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 10, 50
"e:\Code\StudyManagement\server.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Code\StudyManagement\views\asserts\css\dashboard.css", "CSS", 0, 0, 0, 0, 0, 109, 0, 0, 0, 1, 16, 126
"e:\Code\StudyManagement\views\asserts\css\event.css", "CSS", 0, 0, 0, 0, 0, 230, 0, 0, 0, 1, 34, 265
"e:\Code\StudyManagement\views\asserts\css\forget.css", "CSS", 0, 0, 0, 0, 0, 95, 0, 0, 0, 1, 11, 107
"e:\Code\StudyManagement\views\asserts\css\grade.css", "CSS", 0, 0, 0, 0, 0, 200, 0, 0, 0, 1, 29, 230
"e:\Code\StudyManagement\views\asserts\css\home.css", "CSS", 0, 0, 0, 0, 0, 174, 0, 0, 0, 1, 26, 201
"e:\Code\StudyManagement\views\asserts\css\login-register.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 3, 37
"e:\Code\StudyManagement\views\asserts\css\login.css", "CSS", 0, 0, 0, 0, 0, 97, 0, 0, 0, 1, 12, 110
"e:\Code\StudyManagement\views\asserts\css\notfound.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 5, 56
"e:\Code\StudyManagement\views\asserts\css\register.css", "CSS", 0, 0, 0, 0, 0, 113, 0, 0, 0, 1, 14, 128
"e:\Code\StudyManagement\views\asserts\css\subject.css", "CSS", 0, 0, 0, 0, 0, 269, 0, 0, 0, 1, 41, 311
"e:\Code\StudyManagement\views\asserts\css\sweetalert2.css", "CSS", 0, 0, 0, 0, 0, 1588, 0, 0, 0, 1, 193, 1782
"e:\Code\StudyManagement\views\asserts\css\teacher.css", "CSS", 0, 0, 0, 0, 0, 273, 0, 0, 0, 1, 40, 314
"e:\Code\StudyManagement\views\asserts\css\timetable.css", "CSS", 0, 0, 0, 0, 0, 166, 0, 0, 0, 1, 27, 194
"e:\Code\StudyManagement\views\asserts\css\variables.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Code\StudyManagement\views\asserts\js\event.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 15, 6, 86
"e:\Code\StudyManagement\views\asserts\js\interactive-timetable.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 21, 10, 98
